Protein IDs	%iBAQ	Unique peptides	Unique + razor sequence coverage [%]
Q13283;F5H4D6;E5RIZ6;E5RJU8;Q5HYE9;E5RH42;E5RIF8;E5RI46;E5RH00	0.07117373	16	41.4
P18754-2;P18754;C9JW69;C9JQZ4;C9J3R0;C9JMJ4;C9JRH2;H7C497	0.07101049	11	33.2
P11940;E7EQV3;P11940-2;E7ERJ7;H0YAR2;H0YBQ4;Q9H361;H0YBN4;H3BNY3;H3BPI5;H0YAP2;Q4VXU2;E5RJB9;E5RGH3;H0YB86;E5RH24;Q4VY17;H0YB75;H0YAS6;H0YAS7;E5RHG7;Q96DU9;H0YAW6;E5RFD8;E5RGC4;H0YC10	0.070684	20	44.7
Q12905	0.070684	15	45.9
Q9Y3A5;F8WE72;F8WCV5	0.070684	17	57.2
O95833;Q5SQ17	0.06986778	14	69.1
Q9Y490;Q5TCU6	0.06986778	119	60.5
J3QRS3;O14950;P19105;P24844;P24844-2;J3KTJ1	0.06970454	9	53.1
P48643;E9PCA1;B7ZAR1;E7ENZ3;B4DYD8;D6RIZ7;H0Y914	0.06937806	32	58
P05198;G3V4T5;H0YJS4	0.06921481	23	55.9
Q16658;J3KNT0;H7BYX5;C9JFC0;C9JPH9	0.06905157	23	50.5
B0QYN7;P63279;H3BQQ9;H3BPC4	0.06872509	6	38.6
P52292;J3KS65;J3QLL0;A8MYJ9;J3QL07	0.0683986	21	60.3
Q9HB71;Q5R370;Q9HB71-2;B2ZWH1	0.06709266	16	73.7
P41227;P41227-2;A8MWP7;F8W808;C9JN83;Q9BSU3;C9JW55;H0Y8T0	0.06627645	15	62.6
Q16543;K7EKQ2;K7EQA9;K7EL68;K7EIU0	0.06627645	11	31
Q00839;Q00839-2;Q5RI18	0.06611321	20	22.7
Q15907;P62491;H3BSC1;B4DMK0;B4DT13;H3BMH2;J3KQP6;B4DQU5;P57735;H3BN38;M0R2D0;M0R377	0.06546023	12	51.8
Q92499	0.06529699	35	56.1
P09661;H0YKK0;H0YMA0;H0YLR3	0.06480727	10	43.9
F8W930;Q9Y6M1;Q9Y6M1-1;Q9Y6M1-4;Q9Y6M1-3;Q9Y6M1-6;Q9Y6M1-5	0.06399105	23	43.6
P31946;P31946-2;Q4VY19;Q4VY20	0.06382781	7	50
P00338-3;P00338;F5H308;P00338-2;P00338-5;P00338-4;F5GXY2;F5GYU2;F5GXH2;F5H6W8;F5H5J4;F5GZQ4;Q6ZMR3;F5GXU1;F5GWW2;F5GXC7;F5H8H6;P07195;P07864;F5H245;G3XAP5;A8MW50;F5H155;F5H5G7	0.06284836	14	41.6
P61160-2;P61160;F5H6T1	0.06284836	10	34.6
Q9HBL8;I3L3I6;I3L1Y8;I3L543;I3L0Y6;I3L3Z0	0.06235863	17	47.8
O15347;E7EQU1;E7ES08;E9PES6	0.06072621	6	24.5
P36507;G5E9C7;M0R1B6	0.06072621	12	50.5
P11021	0.06039972	35	50.5
Q14019;H3BT58	0.06039972	11	69.7
P61221;D6R9I9;D6RGF4	0.05974675	21	50.8
Q9NR31;B4DQ19;Q5SQT8;H0Y5E8	0.05893054	5	53.5
Q08J23;Q08J23-2;G3V1R4;D6RAS3	0.05860405	37	51.9
P51149;C9J8S3;C9J592;C9J4V0;C9IZZ0;C9J4S4;C9J7D1	0.05811433	12	62.8
P60174;P60174-1;P60174-4	0.05778784	16	63.6
P26196	0.0576246	17	48.2
Q9UNM6;Q9UNM6-2;J3KNQ3;E9PL38;H0YD73;E9PQG3;E9PPD2;F8W8J6	0.05729811	20	56.4
P06703	0.05697163	4	68.9
P52272;P52272-2;M0QZM1;M0R2T0;M0R019;M0R2I7;M0R0N3;M0QYQ7;M0QY96;M0R0Y6;M0QYL3	0.05680839	46	58.4
P51665;B4DXI8;H3BTM8;H3BNT7;H3BQV2	0.05631866	11	42.3
P49411;H3BNU3	0.05599217	19	48.2
P19525;P19525-2;C9JZT2;F8WBH4	0.05566569	16	30.7
O43684;O43684-2;J3QT28;B4DDM6;J3QSX4	0.0553392	14	47
Q9NQG5;E9PIQ9;A2A2M0;E9PQF3;K7EQR8	0.0553392	11	44.2
P61353;K7ELC7;K7EQQ9;K7ERY7	0.05403326	6	43.4
P14678-3;B3KVR1;P14678;P63162;P14678-2;J3QLE5;J3KRY3	0.05272732	6	15.9
Q01105;Q01105-2;Q5VXV2;Q01105-3	0.05272732	6	25.5
P61011;P61011-2;G3V4F7;G3V480;G3V3L9;G3V346	0.0522376	24	43.5
Q9BUL8;C9J5C3;C9J6F3;C9J363;C9JND6;C9JSA3;H7C5M9;C9J932;F8WDF3	0.0522376	9	50.5
B0QZ18;Q99829;F2Z2V0;A6PVH9;E7ENH5;Q5JX45;Q5JX44;Q5JX60;Q5JX59;Q5JX58;Q5JX56;Q5JX52;Q5JX61;Q5JX55;Q5JX54;E7EV27;Q5JX57;H0Y524;Q5JX53	0.05191111	12	22
Q7KZF4;H7C597	0.05191111	44	50.9
Q9NR45;Q5TBR1;Q5TBR0	0.05191111	9	26.7
O95084;B4E2J3;E9PRR2	0.05174787	12	42.8
P07910;G3V2Q1;P07910-2;G3V4C1;B4DY08;G3V4W0;G3V576;P07910-4;G3V575;G3V555;P07910-3;O60812;G3V2D6;G3V5V7;B4DSU6;G3V251;G3V3K6;G3V5X6;G3V4M8;G3V2H6;G3V129;Q86SE5;B3KT61;Q86SE5-2;E5RJ39;E5RG71	0.05142139	14	36.3
P13984	0.05142139	21	77.1
P41250;H7C443	0.0510949	26	42.5
O75351;K7EKZ3;K7EL71	0.05093166	16	51.8
P62495;B7Z7P8;Q96CG1;I3L492;D6RJE8;D6RCB3	0.05027869	16	36.2
O60884;I3L320;H3BMW5	0.04978896	13	30.6
Q96TA1;Q96TA1-2	0.04913599	28	41.3
P55209;H0YIV4;F5H4R6;F8W0J6;B3KNT8;B7Z9C2;F8VV59;F8VY35;F8W118;F8W020;H0YHC3;F8W543;H0YH88;B3KV44;F8VUX1;F8VXI6;F5H1X5;F8VRJ2;F8VVB5	0.04864626	7	17.6
P38919;I3L3F6;I3L2Z3;I3L3H2;I3L2M0;I3L1H0	0.04864626	19	42.1
P50570;K7ESI9;E9PEQ4;P50570-2;F5H4R9;P50570-3;K7ELR1;E5RIK2;K7EPK9;K7ENE7	0.04848302	22	41.3
P23919;H7BZ20;H7C312;G5E9E9;H7C3A4	0.04848302	14	61.3
P08579	0.04815653	7	41.3
P62424;Q5T8U3;Q5T8U2	0.04799329	11	37.6
P62820;E7END7;B7Z8M7;P62820-2;E7ETK2;P62820-3	0.04799329	5	52.2
O75569;O75569-2;O75569-3;G5E9Q4;B4DJC7;C9JMM3;F8WEG8	0.04734032	10	42.2
P28482;A8CZ64	0.04701384	12	38.1
P40121;P40121-2;B4DU58;E7ENU9;B8ZZL6;H7C0X8	0.0468506	8	26.4
P08237-3;P08237;P08237-2;F8VP00;F8VZQ1;F8VNX2;F8VX13;F8VZI0;F8VSL1;F8VW30;F8VYK8;F8VTQ3;F8VUB8;F8VSF7;F8W1J8;F8VVE3;F8VSF5;F8VZ53;H0YHB8	0.04619763	23	30.9
M0R242;Q9UI30;J3KNG5;F5GX77;F5GYQ2	0.04554465	3	24.4
P17987;E7ERF2;E7EQR6;F5H282;F5GZ03;F5H136;F5H676;F5GZI8;F5H726;F5GYL4;F5H7Y1	0.04554465	25	50.2
Q58FF8	0.04554465	1	3.9
Q15181;Q5SQT6	0.04538141	13	55.7
P12814;P12814-3;P12814-2;B7TY16;H9KV75;G3V2N5;B2RCS5;P35609;H7C5W8;H0YJW3;G3V2W4;Q08043;H0YJ11;G3V5M4;G3V2X9;G3V380;G3V2E8;B7Z4P8	0.04521817	37	42.4
P13010;C9JZ81;H7C0H9	0.04521817	36	59.7
P55081;Q00653-3	0.04505493	22	55.8
Q9NUQ9;E5RI16;Q9NW21;E5RJL8;E5RIR8;E5RJE1;E5RGI7;E5RHU5;E5RFS4;E5RK61;E5RH75;E5RK81	0.04505493	15	58.3
Q5T9B7;P00568;H0Y4J6;H0YID2;Q9Y6K8;Q9Y6K8-3;Q9Y6K8-2	0.04489169	12	54.3
P54136;P54136-2;F5H3T8;E5RJM9;E5RH09;E5RI24	0.04440196	37	56.2
Q15084-2;B5MCQ5;F8WA83;Q15084;B7Z254	0.04423872	13	34.8
P62857	0.04423872	3	46.4
Q9UNF0;Q9UNF0-2;B0QYG8;B0QYG7;H0Y923	0.04407547	11	21.8
P47813;O14602;A6NJH9	0.04358574	7	47.9
Q15388	0.04309602	4	31.7
P30085;E9PGI8;Q5T0D2	0.04276953	13	61.7
P55060;P55060-3;F8W904;B4DUC5;P55060-2	0.04276953	41	49.1
P04632;K7ELJ7;K7EIV0;K7EKD8;K7EM73;K7EP80;K7ES82;Q96L46;K7EK10;K7EMQ1;K7ES78	0.04260629	7	31.7
Q9UHF1	0.04260629	6	26.4
P08574	0.04244305	12	37.5
P35270;REV__Q16649	0.04244305	12	56.7
P36543;P36543-2;C9J8H1;P36543-3;Q96A05	0.04244305	9	44.2
P15531-2;P15531;E7ERL0;E5RHP0;C9K028	0.04227981	1	7.9
P62942;Q5W0X3;Q1JUQ5	0.04211656	2	25
Q8N684-3;Q8N684;Q8N684-2;F5H669;F5H047;F5H6M0;J3QT54;C9J323;C9J286;C9JM38;F5GXA3;F5H6A8;F5H6P5;F5H2K8;F5H1W4;F5H5B7	0.04195332	16	36.8
P24666;B5MCC7;G5E9R5;P24666-3;F2Z2Q9	0.04179008	3	36.1
P29401-2;P29401;B4E022;E9PFF2;F8W888;F8WAX4	0.04179008	27	48.7
Q7L014;D6RJA6;H0Y9U3	0.04179008	37	31.6
P84085;C9J1Z8;F8WDB3;F8WCJ5;F5H6T5;F5H1V1	0.04162683	6	35.6
Q13200;E7EW34;E9PCS3;C9JPC0;H7C2Q3;H7C1H2;F8WBS8	0.04162683	43	48.1
P83731;C9JNW5;C9JXB8	0.04146359	6	35.7
Q13885;Q9BVA1;A6NNZ2;I3L2F9;A6NKZ8;CON__ENSEMBL:ENSBTAP00000025008;Q9H4B7	0.04146359	5	24.3
P62140;E7ETD8;C9JP48;C9J9S3	0.04130035	6	20.2
Q16630-2;Q16630;F8WJN3;Q16630-3;F8W084	0.04130035	15	28.2
Q13347;Q5TFK1	0.04113711	12	43.1
P51114;B4DXZ6;P51114-2;P51114-3;E9PFF5;E7EU85;C9JAJ4;H7C4S4;C9JY20;C9JZE0;C9IZ22;C9J5B4	0.04097386	19	39.9
G3V2F7;Q13404-1;Q13404-2;Q13404-7;Q13404;Q13404-8;Q15819;Q13404-6;J3KNL8;G3V113;H0YBP9;E5RGE2;H0YBX6;D6RG00	0.04097386	7	14.1
O00159;O00159-3;F5H6E2;O00159-2;I3L204;I3L501;I3L3Y6;I3L4D4;I3L3F5;I3L168;Q8N1T3;F5H3C6	0.04097386	45	49.2
Q08752;H0Y8J0;P30405;H0Y548;Q2YDB7	0.04097386	17	42.7
Q7L2H7;B4E2Q4;H0YCQ8;J3KNJ2;E9PN86;E9PRY0;E7ESM3	0.04097386	16	51.6
Q9ULC4-3;Q9ULC4;Q9ULC4-2	0.04097386	8	64.3
P55010;H0YN40;H0YLZ1;H0YM54;H0YMJ8;H0YK11;H0YK29	0.04048414	14	29
P31153;B4DN45;Q00266	0.0403209	11	31.6
P53007;B4DP62	0.0403209	11	42.8
P62753;A2A3R5;A2A3R7	0.0403209	5	20.9
Q99497;K7ELW0;K7EN27	0.04015765	12	69.3
Q9BTE7;H0YCN4;E9PM04;B4DH25;Q92564;Q92564-2;B4DH26;H0Y907;E9PQV9;J3QQL8;H0Y9C5	0.04015765	7	28.3
Q9BXP5;Q9BXP5-3;Q9BXP5-2;Q9BXP5-4;Q9BXP5-5;H7C3A1;H7C1K0;H7C159;H7C0U8	0.04015765	31	30.8
P49915;F8W720	0.03999441	33	52.1
Q8ND56;Q8ND56-2;B4DTG6;K7EMZ9;I3L4Q1	0.03983117	13	22.9
P01034	0.03950468	3	25.3
B1AHD1;P55769	0.03934144	5	40.2
J3KQG6;P15170-2;P15170;H3BR35;Q8IYD1;H3BSV8	0.03934144	22	35.8
P13797;B4DGB4;B7Z6M1;F8W8D8;B4DI60;H7C4N2;P13796;Q5TBN3;F2Z2Z9	0.0391782	29	56.2
P33176;Q12840;O60282;J3KNA1;E9PET8;O60282-2;H0YIN5;C9JWB9	0.0391782	60	61.3
P49770;G3V5E5;H0YJJ8;H0YK01	0.03901495	12	37.3
P05067;P05067-9;P05067-8;P05067-11;P05067-7;P05067-6;E9PG40;P05067-5;P05067-4;P05067-3;E9PEV0;P05067-10;H7C0V9;H7C104;H7C2L2;P05067-2	0.03885171	17	25.2
P07814	0.03885171	53	35.2
O14908;O14908-2;K7EM11;K7ESN1;K7ELJ2;K7EIT0;K7EJ33	0.03868847	8	26.4
Q9UN86;Q9UN86-2;D6RB17;D6RAC7;D6RGJ4;D6RBW8;D6RE13;D6RBR0;D6REX8;D6RBM9;D6R9A4;D6R9X5	0.03868847	12	31.3
P59998-3;F8WCF6;P59998;P59998-2;H7C0A3;F8WDD7;F6TTL5;F8WE39;F8WDW3	0.03852523	6	31.6
O00232;O00232-2;J3KSK1;J3KTJ5	0.03852523	22	45.8
O95433;B4DUR9;H0YJG7;G3V438;H0YJU2;H0YJG6;G3V3W9;H0YJ63	0.03836199	13	49.1
P14174	0.03819874	2	17.4
P11908-2;P11908;D3YTJ7;H7C540;H7C518;A6NMS2	0.0380355	5	47.4
Q9Y3B4	0.0380355	6	54.4
P49207	0.03787226	4	21.4
P62847-4;P62847;P62847-3;E7ETK0;P62847-2	0.03770902	3	13.5
Q96H79;Q96H79-2	0.03770902	7	30.3
P68400;E7EU96;Q8NEV1;P68400-2	0.03754577	14	42.7
J3KTL2;Q07955;Q07955-2;Q07955-3;J3KSR8;J3KSW7;J3QQV5	0.03738253	11	39.9
Q5HY81;P11441	0.03738253	7	38.9
O00442;O00442-2;A6NIC1	0.03721929	12	39.3
Q15382;C9J931;F8WBL3;C9J469	0.03705604	9	38
Q9NZZ3;Q9NZZ3-2	0.0368928	2	12.8
O60493;O60493-4;O60493-2;O60493-3	0.03656632	8	49.4
P62906	0.03656632	12	50.2
Q96DA6;C9JBV1;F2Z3A7;G5E9V2	0.03656632	6	56
D3DQV9;P78344;H0Y3P2;P78344-2;H0YCH5;H0YD77;H0YEC5;E9PKF8;H0YE22;H0YCF8;H0YDP4;H0YDC0;H0YEN8;H0YD99;H0YE44	0.03640307	32	36.3
P22102;P22102-2;B4DJ93;F8WD69;C9JTV6;C9JBJ1;C9JKQ7;C9JZG2;H7C489;H7C366;H7C5I9	0.03623983	25	27.4
Q9UMS4;F5GY56;F5H2I0;H0YGF3;H0YGZ5	0.03607659	16	37.3
Q9UHB9;G3V1U4;Q9UHB9-2;F5H5Y3;Q9UHB9-3;K7EQC2;K7EN53	0.03575011	34	57.1
P33993;P33993-3;P33993-2;C9J8M6	0.03558686	32	46.7
O75821;K7EL20;K7ER90;K7ENA8;K7EP16;K7EL60	0.03542362	11	26.6
Q9NY12;Q9NY12-2	0.03542362	7	27.2
Q8WXF1;Q8WXF1-2	0.03493389	10	18.9
Q13247;Q13247-3;Q13247-2;Q08170;F6T1J1	0.03477065	6	17.7
Q9Y266	0.03395444	18	55.3
B4E1G6;P51570;K7ERJ9;K7EII7;K7ERN9	0.0337912	12	31
P46776;E9PLL6;E9PJD9;E9PLX7	0.0337912	2	14.2
P05161	0.0337912	4	23
B4DWW4;P25205;J3KQ69;Q7Z6P5	0.03362795	39	46.7
Q92616	0.03362795	124	50.5
Q14847-2;Q14847;C9J9W2;B4DGQ0;F6S2S5;K7ESD6	0.03346471	10	25.7
P02649;H0Y7L5;E7ERP7;E9PEV4;CON__Q03247	0.03330147	19	59.6
P27361;P27361-2;P27361-3;E9PQW4;E9PBK7;E9PJF0;B3KR49;E9PRH7;H0YEX6;Q16659;P31152;K7EN18;K7ELV1;H0YDH9	0.03313823	11	29
P61513;C9J4Z3;M0R2L6;E9PEL3;Q6P4E4;M0R0A1;G5E9R3;A6NKH3	0.03281174	5	45.7
H0YKD8;P46779-3;P46779-2;P46779;H0YMF4;G5E9L2;C9JB50;H0YLP6	0.03281174	7	32.4
P33991;J3KPV4;E5RG31;E7ER43;E5RHP5;E5RK04;E5RFJ8;E5RFR3;Q9UJA3-4;Q9UJA3;Q9UJA3-3;Q9UJA3-2;E5RG53	0.03281174	41	46.3
Q9NX02;Q9NX02-5;J3KN39;Q9NX02-2;Q9NX02-4;Q9NX02-3;F5GYZ4;F5H5B1;K7ELX1;E7EPM2;Q8WX94-3;Q8WX94-2;Q8WX94;K7ERG0;K7EPE6;K7EMK2;K7EJ90;F5H7Q5;H0YH35	0.03281174	45	42
J3KR44;Q96FW1;F5GYN4;F5H6Q1;F5GYJ8;Q96FW1-2;F5H3F0	0.0326485	10	34.4
O75369-8;O75369;O75369-9;O75369-2;O75369-3;O75369-6;O75369-7;E7EN95;O75369-4;O75369-5;H7C5L4;Q8WXT3	0.0326485	100	47.2
P63167;Q96FJ2;F8VRV5;F8VXL2	0.0326485	4	39.3
P30153;F5H3X9;B3KQV6;C9J9C1;E9PH38;E9PHZ6;E9PNM7;E9PPI5;M0R0K6;M0QXG4	0.03248525	17	44.3
Q96HS1;Q96HS1-2;F5GXG4	0.03232201	17	56.7
P21964;P21964-2;E7EMS6;E7EUU8;F8WBW9;H7BZ45	0.03215877	15	70.1
Q00610;Q00610-2;J3KS13;K7EJJ5;J3KRF5;J3KSQ2;J3QL20	0.0315058	60	53.1
Q13630;E9PKL9;E9PP14;E9PLH9;H0YE90;E9PP60;H0YCP7	0.0315058	10	37.7
Q92945;M0R0I5;M0QYH3;M0R3J3;M0QXW7;M0R0C6;M0R263;M0R251	0.0315058	25	40.8
J3KPV7;P25325;B1AH49	0.03117932	12	48.3
O75828	0.03117932	4	13.4
P51148-2;P51148;K7ERQ8;K7ERI8;K7ENY4;F8VVK3;F8VVZ0;F8VWU4;F8VWZ7;F8VSF8;F8VPW9;F8WD79;F8WCY6;F8WC93;K7EIP6	0.03117932	3	28.1
P30086	0.03101607	9	64.2
E9PEB5;Q96AE4-2;Q96AE4;B4DT31;C9JSZ1;M0QYG1	0.03085283	19	30.8
Q9UDW1;Q9UDW1-2	0.03085283	2	38.1
O95168;O95168-2;C9JXQ9;F2Z3P9	0.03068959	5	48.1
B1AK88;P47756-2;B1AK87;P47756;B1AK85;F6USW4;F6Q0E3	0.03019986	9	30.6
P37837;F2Z393;E9PKI8;E9PM01	0.03019986	16	43
Q8N6M0;H0YB21	0.03003662	6	27.6
Q9H0S4;Q9H0S4-2;F5H1N9	0.02987338	14	36.9
P46379-3;P46379;B0UX83;P46379-2;P46379-5;P46379-4;F6S6P2;F6U341;F6X9W3;F6VEM6;F6WML8;F6RG75;F6XTU0;F6U1F2;F6UR09;F6TC96;H0Y710;H0Y583;H0Y759;H0Y7K4;H0Y4L1	0.02954689	26	26.4
Q06323;A6NJG9;H0YNE3;H0YLU2;H0YKK6	0.02954689	17	63.1
B0QY89;Q9Y262;J3KN35;Q9Y262-2;B0QY90;C9K0Q7;C9JHP4;H7C3A0;H0Y7E6	0.02922041	27	45.6
O15371;B4DVY1;B0QYA5;B0QYA3;B0QYA4;B0QYA7;B0QYA6;B0QYA8	0.02905716	13	27.9
Q13813;A6NG51;Q13813-2;Q13813-3	0.02905716	152	65.3
Q9Y6E0;Q9Y6E0-2;B4DR80;H0Y630;Q5JV98;Q5JV99	0.02889392	6	31.2
H9KV28;O60610;E9PEZ3;E7ET75;O60610-3;E9PHQ0;B9ZVX0;O60610-2;E7ERW8;E7EMV0;B4E2I7;E5RJ79	0.02856744	54	43.8
Q9H0B8;H3BTI0;Q9H0B8-2;Q9H0B8-3;H3BSZ9;Q9H0B8-5;H3BTP0;J3QKP2;O43692;Q9H0B8-4	0.02856744	14	29.8
Q15019-2;Q15019;B5MCX3;C9J2Q4;H7C2Y0;C9JB25;C9J938;C9IY94;H7C310;C9JQJ4;C9IZU3;C9JZI2;B5MD47;F8WB65;C9JFT1;C9JSE7;C9JT15;H7C1T1	0.02856744	13	44.2
Q9Y5M8;H7C4H2;C9J5Z8	0.02840419	11	50.2
Q9NR50;Q9NR50-2;Q9NR50-3;H0Y580;Q5QP88	0.02824095	19	47.6
Q9Y6F9	0.02824095	3	7.1
Q9NRW3;Q96AK3;Q8IUX4;Q6ICH2	0.02807771	4	26.8
Q16181;E7EPK1;E7ES33;Q16181-2;G3V1Q4;B4DNE4;H0YFF6;H0Y3Y4;F5GZE5;Q5JXL7;Q6ZU15;Q5W161;F2Z3D3	0.02758798	12	30.7
P60468	0.02758798	3	37.5
Q15046;Q15046-2;H3BVA8;J3KRL2;H3BPV7;H3BRC9	0.02758798	25	40.4
Q04323-2;Q04323;E9PJ81;E9PRQ7;E9PS08	0.0272615	8	27.9
P49589-3;P49589;B4DKY1;P49589-2;A8MVQ3;E9PRS8;E9PLP0;C9JLN0	0.0272615	27	32.5
P62333;H0YJC0;H0YJS8;H0YJX2;H0YJT1;H0YJE9	0.0272615	17	45.8
H0Y368;Q5QPK2;O60762;E9PHH5;Q5QPJ9	0.02709825	8	32.2
O76003	0.02693501	14	47.5
P49721	0.02677177	6	33.8
P35249;C9JZI1;C9J8M3;C9JTT7;C9JXZ7;H7C1P0;F8WE44;C9JGY5;C9JW34	0.02660853	11	32.2
Q13363;Q13363-2;D6RAX2;H0Y8W7;E7EPF8;E7ESU7;E9PGB1;H0Y9M9;H0Y8U5;E7EUB3	0.02660853	8	25.7
B4E040;Q6ZS74;P11234;C9J6B1;C9JQB3;C9JYR1;F8WEQ6;C9JPE8	0.02644528	6	30.7
O95373;E9PLB2;E9PLJ0	0.02644528	32	36.9
P14923;C9JKY1;C9JK18;C9J826;C9JTX4;K7ERP3;C9JPI2	0.02644528	18	49.7
O43776;B4DN60;B4DG16;K7EQ35;K7EPK2;K7EIU7;K7EJ19;K7EMQ6;REV__H7BZ55;REV__H7C110	0.02628204	17	31.8
Q16401;Q16401-2;F2Z3J2;Q4VXH0;Q4VXG9	0.02628204	16	35.9
Q92688;Q92688-2;Q5T6W8	0.02628204	6	25.5
B3KS98;O15372;E5RJT0;E5RGU4;E5RFH0;E5RFW7;E5RH59;E5RHC7	0.0261188	18	57.7
E7EW20;Q9UM54-6;Q9UM54;Q9UM54-1;Q9UM54-4;Q5JVM0	0.02579231	1	46.8
P06744-2;P06744;K7EP41;K7ELR7;K7ERC6;CON__Q3ZBD7;K7ERK8;K7EIL4;Q8N196	0.02579231	16	31.6
Q9H6S3;B7ZKL3;Q9H6S3-2;E9PLH1;E9PNT0;H0YF37;H0YD62;E9PLN2;E9PN68	0.02579231	20	30.3
Q15369;Q15369-2;E5RHG8;E5RJ89	0.02562907	3	27.7
J3QT22;Q9Y570;Q9Y570-2;Q9Y570-3;F5H2D4	0.02562907	13	35.5
P06753-2;Q5VU59;Q5VU66;Q5VU58;P06753-3;Q5VU72;Q5VU61;J3KN67;P06753;Q5VU63;D6R904;A6NL28;K7EP68;A6NL28-2;D9YZV2;P09493;P09493-4;P09493-6;H0YL52;H0YNC7;H0YKX5;H0YKP3;H0YL80;D6RFM2;H0YL42;H0YK20	0.02562907	16	61.7
P17066;P48741	0.02562907	2	5.9
Q9BUP3-3;Q9BUP3;E9PI87;Q9BUP3-2	0.02562907	13	51.1
Q8WWY3;E7EVX8;E7ESA8;Q8WWY3-2;E7EN72;Q8WWY3-3;E7ESX0;E7EU94	0.02546583	10	21.4
Q9UN37;I3L4J1;Q6PIW4;Q6PIW4-2	0.02546583	13	30.7
Q7Z4W1;J3KS22;J3QS36;J3KRZ4;J3QL34;J3KSZ5;J3QS45	0.02530259	12	54.5
P40222	0.02530259	21	32.8
Q9NP79;Q5TGM0;E7ETQ7	0.02530259	9	27.7
Q14232;J3KMX9;B4DGX0;F5H0D0;H0YGG4	0.02513934	14	47.2
Q9NUU7;I3L0H8;I3L352;B4DRZ7;Q9UMR2-3;H3BTB3	0.02513934	1	42.3
C9JEJ2;P49585;C9J050;B4E322;H7C1T3;C9J2E1;H7BZN1;Q9Y5K3;Q9Y5K3-3;Q9Y5K3-4;Q9Y5K3-2;C9JPY0;F8WAZ5;C9JVS0;F2Z2B1	0.02481286	15	45.8
Q15418-2;Q15418;E9PGT3;E9PRI4;Q15418-3;Q5SVM6;E9PAN7;E9PMM7;D6R910;Q5SVM7;D6RHW7;F8WAQ9;O15021;J3QT34;E7EWQ5;O15021-1;O15021-3;O15021-2;Q6P0Q8;E7ERL6;Q6P0Q8-2;Q9Y2H9;O60307;Q5TI62	0.02481286	21	48.8
P63010-2;P63010;K7EJT8;Q7Z451;K7ERB2;K7EN71;K7EJX1;K7EJ01;K7EKZ5;K7ERE4	0.02481286	18	41.6
Q99613;H3BRV0;B5ME19;H3BPE4;H3BPE3;H3BTY8	0.02464962	29	30.8
P18124;A8MUD9;C9JIJ5;C9JZ88	0.02464962	14	44.4
P05455;E9PFH8;E7ERC4;E9PFL9;E9PGX9	0.02448637	15	40.7
P46459;I3L0N3;B4DFA2;K7EQD6;I3L2G1;I3L0L3;I3L4Q9;I3L338	0.02448637	32	41.3
Q00535;Q00535-2	0.02448637	10	33.9
Q13162;H7C3T4;A6NJJ0;A6NG45	0.02448637	6	25.5
Q9NQ29;Q9NQ29-2;Q9NQ29-3;A8MYV2;B8ZZ10;B8ZZ09;B8ZZ08;F2Z322;F8WBC1	0.02448637	6	13.5
O95758-4;O95758-5;O95758;O95758-2;O95758-6;O95758-1;O95758-7	0.02432313	6	10.9
P62873;P62879;E7EP32;F6UT28;F6X3N5;B1AKQ8;Q9HAV0;C9JXA5;C9JIS1;C9JZN1;B3KVK2;P16520;E9PCP0;F5H0S8;B3KPU1;F5H8J8;F5H100;C9JD14	0.02415989	6	20
P20340;P20340-2;H7BYW1;Q9NRW1;H0YGL6;F5H668;F5GZB1;B7Z337;J3KR73;C9JU14;F5GXN4;Q9H0N0;Q14964;P20340-3;F5GX61;C9J0I2;F5H3K7;C9JB90;F5H440	0.02399665	5	24
P46109	0.02399665	13	50.8
Q9H8W4	0.02399665	7	28.9
M0QYZ2;M0R0N4;P53680;M0QZ21;P53680-2;M0R1S0	0.0238334	4	22.8
P49327;J3KTF0	0.0238334	71	38.3
Q15149	0.0238334	2	53.5
P04156;A2A2V1;P04156-2	0.02367016	5	20.2
Q5JWF2;Q5JWF2-2;A6NI00;P63092;P63092-2;P63092-3;H0Y7F4;Q5JWE9;P38405-2;P38405;K7EPE2;K7EQ80;H0Y7E8;Q5JWD1;A2A2R6	0.02367016	11	13.3
O75533;H7C341;B4DGZ4;O75533-2;F8WC19	0.02367016	42	40.5
O75822;F5H425;B4DUI3;H0YLP3;H0YGJ7	0.02367016	8	24
Q01518;Q01518-2;Q5T0R1;Q5T0R9;Q5T0R2;Q5T0R3;Q5T0R4;Q5T0R5;Q5T0R6;Q5T0R7;Q5T0S3;Q5T0R8;P40123;E9PDI2;B7Z1C4;B7Z385;B7Z214	0.02367016	19	40.2
Q12874;E7EUT8	0.02367016	19	41.9
Q9UL46;H0YM70;H0YKU2;H0YLD2;H0YLG1	0.02367016	12	51
Q96AG4;I3L223	0.02350692	5	23.5
P63208;E5RJR5;P63208-2;F8W8N3;E7ERH2;E5RGM3	0.02334368	8	42.3
Q13185;B8ZZ43;C9JMM0;P83916;J3KS05;B5MD17;K7ELA4	0.02334368	6	30.1
Q6P1L8	0.02334368	4	28.3
Q9UKS6;E9PIY1;E9PNM9;E9PJ75;H0YDM6;E9PJ33	0.02334368	13	32.5
Q9UNE7;Q9UNE7-2;H3BS86;H3BTA3;H3BUD0	0.02334368	12	36.6
